,index,coffee_name,total_score,roaster_location,coffee_origin,roast_level,est_price,agtron_ground,agtron_roast,price_per_ounce,origin_country,roast_level2,roast_level_count,total_score2,total_score_count
673,674,Ethiopia Natural Guji Uraga Tome 74110 Lot K06,95.0,"Chia-Yi, Taiwan","Guji Zone, Oromia Region, southern Ethiopia",Light,NT $325/8 ounces,63.0,85.0,325.0,Ethiopia,,,,
674,675,Kenya Gathaithi AA,94.0,"Montrose, Colorado","Nyeri growing region, south-central Kenya",Medium Light,$14.00/250 grams,58.0,76.0,0.49382716049382713,Kenya,,,,
675,676,Ethiopia Guji Uraga Tobutu Tuta G1 Experimental LOT 181NA2021,95.0,"Osaka, Japan","Guji Zone, Oromia Region, southern Ethiopia",Light,$12.50/100 grams,72.0,90.0,0.4409171075837742,Ethiopia,,,,
676,677,Colombia Jardines del Eden Pink Bourbon Wine Yeast Honey,94.0,"Toronto, Canada","Pijao, Quindio Department, Colombia",Light,CAD $30.00/250 grams,64.0,86.0,,Colombia,,,,
677,678,Colombia Cerro Azul Enano,94.0,"San Rafael, California","Trujillo, Valle del Cauca Department, Colombia",Medium Light,$26.00/12 ounces,60.0,77.0,26.0,Colombia,,,,
678,679,Peru Incahuasi,94.0,"Phoenix, Arizona","Cusco Region, Peru",Medium Light,$26.00/12 ounces,58.0,78.0,26.0,Peru,,,,
679,680,Reina de la Asuncion Ecuador,94.0,"Madison, Wisconsin","Congonama, Loja, Ecuador",Medium Light,$20.00/12 ounces,58.0,74.0,20.0,Ecuador,,,,
680,681,Ethiopia Guji Uraga More Floral Kudume Washed,95.0,"Yilan, Taiwan","Guji Zone, Oromia Region, Southern Ethiopia",Light,NT $550/200 grams,65.0,82.0,19.400352733686066,Ethiopia,,,,
681,682,Ethiopia Guji Uraga More Floral Kudume Natural,94.0,"Yilan, Taiwan","Guji Zone, Oromia Region, Southern Ethiopia",Medium Light,NT $550/200 grams,62.0,77.0,19.400352733686066,Ethiopia,,,,
682,683,Kenya Nyeri Hill,94.0,"Lexington, Virginia","Nyeri growing region, south-central Kenya",Medium Light,$21.95/12 ounces,60.0,78.0,21.95,Kenya,,,,
683,684,Kenya AA TOP Nairobi Rose,94.0,"Taipei, Taiwan","Embu County, Kenya",Medium Light,NT $400/8 ounces,60.0,77.0,400.0,Kenya,,,,
684,685,Kahiko,96.0,"Holualoa, Hawaii","Holualoa, North Kona growing district, “Big Island” of Hawai’i",Medium Light,$47.95/8 ounces,56.0,74.0,47.95,,,,,
685,686,Kenya Ndumberi Peaberry,94.0,"San Diego, California","Kiambu County, Kenya",Medium Light,$27.00/14 ounces,58.0,77.0,27.0,Kenya,,,,
686,687,Taiwan Alishan Espresso Pacamara Natural,94.0,"Taoyuan, Taiwan","Alishan Township, Chiayi County, Taiwan",Medium,NT $2300/230 grams,48.0,67.0,81.12874779541445,Taiwan,,,,
